2019-09-06T05:51:16.792790370Z Data directory not empty, will not provision.
2019-09-06T05:51:16.795284840Z ------------------------ written by daito at /sw360chores/docker-images/sw360couchdb/docker-entrypoint.sh  -----------------
2019-09-06T05:51:16.800942771Z sed -e s/file = \/dev\/null/file = \/usr\/local\/var\/log\/couchdb\/couch.log/g  \/usr\/local\/etc\/couchdb\/default.ini
2019-09-06T05:51:16.826636202Z ****************************************************
2019-09-06T05:51:16.826690021Z WARNING: CouchDB is running in Admin Party mode.
2019-09-06T05:51:16.826706421Z          This will allow anyone with access to the
2019-09-06T05:51:16.826721625Z          CouchDB port to access your database. In
2019-09-06T05:51:16.826737646Z          Docker's default configuration, this is
2019-09-06T05:51:16.826752184Z          effectively any other container on the same
2019-09-06T05:51:16.826766129Z          system.
2019-09-06T05:51:16.826776084Z          Use "-e COUCHDB_USER=admin -e COUCHDB_PASSWORD=password"
2019-09-06T05:51:16.826785186Z          to set it in "docker run".
2019-09-06T05:51:16.826794194Z ****************************************************
2019-09-06T05:51:18.452564911Z Apache CouchDB 1.7.1 (LogLevel=info) is starting.
2019-09-06T05:51:23.181589933Z Apache CouchDB has started. Time to relax.
2019-09-06T05:51:23.508599005Z [info] [<0.32.0>] Apache CouchDB has started on http://0.0.0.0:5984/
2019-09-06T05:54:10.505572715Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360db/_design/Component 200
2019-09-06T05:54:10.528875089Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.535473729Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/_design/Project 200
2019-09-06T05:54:10.540945959Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360db/_design/Project 200
2019-09-06T05:54:10.572874950Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.578339638Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/_design/User 200
2019-09-06T05:54:10.584119622Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360db/_design/User 200
2019-09-06T05:54:10.600509714Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.606511239Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.628798939Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.635467559Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.648520055Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.654326491Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.665667477Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.672779501Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:10.678888696Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:10.701355554Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.706724141Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:10.716319767Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.722522771Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:10.728972939Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:10.748473942Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.752984338Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:10.761799147Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.768110944Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Attachment 200
2019-09-06T05:54:10.774085656Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Attachment 200
2019-09-06T05:54:10.793178919Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.797747527Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:10.806818630Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.811869165Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Source 200
2019-09-06T05:54:10.816673355Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Source 200
2019-09-06T05:54:10.838453711Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.844235785Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:10.852067329Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.856371196Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Vendor 200
2019-09-06T05:54:10.861376904Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Vendor 200
2019-09-06T05:54:10.880110248Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.886195775Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Release 200
2019-09-06T05:54:10.891583539Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Release 200
2019-09-06T05:54:10.899838491Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.907694876Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Component 200
2019-09-06T05:54:10.914764446Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Component 200
2019-09-06T05:54:10.922875525Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.930173029Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Project 200
2019-09-06T05:54:10.938468704Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Project 200
2019-09-06T05:54:10.947294650Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.953608331Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/User 200
2019-09-06T05:54:10.959787865Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/User 200
2019-09-06T05:54:10.968899683Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.974821839Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.985557720Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.991490890Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:11.004133395Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:11.010786198Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:11.019189748Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:11.024112182Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:11.030127530Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:11.045524927Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.049911157Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:11.058756192Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.064382635Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:11.069707513Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:11.085643205Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.090772574Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:11.099974842Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.104873820Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Attachment 200
2019-09-06T05:54:11.110660109Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Attachment 200
2019-09-06T05:54:11.128654635Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.133164349Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:11.142625840Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.147564892Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Source 200
2019-09-06T05:54:11.152852052Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Source 200
2019-09-06T05:54:11.170569321Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.175520417Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:11.185486454Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.193379759Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/Project 200
2019-09-06T05:54:11.198698026Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/Project 200
2019-09-06T05:54:11.213230813Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:11.218211177Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360db/_design/ProjectVulnerabilityRating 200
2019-09-06T05:54:11.222711433Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360db/_design/ProjectVulnerabilityRating 200
2019-09-06T05:54:11.235677715Z [info] [<0.113.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:11.241350449Z [info] [<0.113.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:44.342167411Z [info] [<0.356.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:44.378204047Z [info] [<0.356.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:44.634610415Z [info] [<0.116.0>] 172.21.0.5 - - HEAD /sw360fossologykeys/ 200
2019-09-06T05:54:44.640626513Z [info] [<0.116.0>] 172.21.0.5 - - GET /sw360fossologykeys/_security 200
2019-09-06T05:54:44.655693194Z [info] [<0.116.0>] 172.21.0.5 - - HEAD /sw360fossologykeys/ 200
2019-09-06T05:54:55.185300279Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:55.221447841Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:55.376404597Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:55.380936206Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:55.400208813Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:55.407731627Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:55.422985506Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:55.515068679Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.519559758Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.529086762Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.536302060Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:55.542384178Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:55.569970270Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.574668707Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.583312056Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.587623790Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/_design/Attachment 200
2019-09-06T05:54:55.594793299Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_design/Attachment 200
2019-09-06T05:54:55.622901320Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.627165171Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.635296971Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.641697559Z [info] [<0.112.0>] 172.21.0.5 - - HEAD /sw360db/_design/Source 200
2019-09-06T05:54:55.648641509Z [info] [<0.112.0>] 172.21.0.5 - - GET /sw360db/_design/Source 200
2019-09-06T05:54:55.703311339Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
